dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Pulicaria vulgaris Gaertn.	6443643	6443643	Pulicaria vulgaris Gaertn.	Pulicaria vulgaris Gaertn.	6443643	accepted	Pulicaria vulgaris Gaertn.	119191	exact_match	Pulicaria vulgaris	http://www.wikidata.org/entity/Q1993977	119191			ok_auto
Tragopogon dubius Scop.	6443709	6443709	Tragopogon dubius Scop.	Tragopogon dubius Scop.	6443709	accepted	Tragopogon dubius Scop.	45322	exact_match	Tragopogon dubius	http://www.wikidata.org/entity/Q1548650	45322			ok_auto
Hieracium subspeciosum Prantl	6445636	6079716	Hieracium chondrillifolium subsp. subspeciosum (Prantl) Zahn	Hieracium subspeciosum Prantl	6445636	homotypic synonym					http://www.wikidata.org/entity/Q109693800				no_match_incl_synonyms
Hieracium scorzonerifolium Vill.	6445950	6445950	Hieracium scorzonerifolium Vill.	Hieracium scorzonerifolium Vill.	6445950	accepted									no_match_incl_synonyms
Centaurea pseudophrygia C.A.Mey.	6446296	6076574	Centaurea phrygia subsp. pseudophrygia (C.A.Mey.) Gugler	Centaurea pseudophrygia C.A.Mey.	6446296	homotypic synonym					http://www.wikidata.org/entity/Q21156075				no_match_incl_synonyms
Solidago virgaurea L.	6446462	6446462	Solidago virgaurea L.	Solidago virgaurea L.	6446462	accepted	Solidago virgaurea L., 1753	462879	exact_match	Solidago virgaurea	http://www.wikidata.org/entity/Q599435	462879			ok_auto
Axyris amaranthoides L.	6447806	6447806	Axyris amaranthoides L.	Axyris amaranthoides L.	6447806	accepted	Axyris amaranthoides L.	464020	exact_match	Axyris amaranthoides	http://www.wikidata.org/entity/Q4351233	464020			ok_auto
Mentha ×villosonervata Opiz	6559932	10051670	Mentha longifolia × spicata	Mentha ×villosonervata Opiz	6559932	synonym									no_match_incl_synonyms
Salix ×erythroflexuosa Ragonese & Alberti	6559959	5372638	Salix ×pendulina Wender.	Salix ×pendulina Wender.	5372638	accepted	Salix x pendulina Wender.	526929	exact_match	Salix x pendulina	http://www.wikidata.org/entity/Q10497720	526929	http://www.wikidata.org/entity/Q10497720	5372638	ok_auto
Hieracium bupleuroides C.C.Gmel.	7065683	7065683	Hieracium bupleuroides C.C.Gmel.	Hieracium bupleuroides C.C.Gmel.	7065683	accepted	Hieracium bupleuroides C.C.Gmel.	269351	exact_match	Hieracium bupleuroides	http://www.wikidata.org/entity/Q11723274	269351			ok_auto
