dataset_scientificName	dataset_taxonID	acceptedNameUsageID	acceptedName	gbif_speciesName	gbif_taxonID	taxonomicStatus	ncbi_speciesName	ncbi_taxonID	status	ncbi_acceptedName	gbif_wikidata_uri	ncbi_taxonID_wd	ncbi_wikidata_uri	gbif_taxonID_wd	curation
Inula britannica L.	3148406	10010617	Pentanema britannicum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.	Inula britannica L.	3148406	homotypic synonym	Inula britannica L., 1753	119176	exact_match	Pentanema britannicum	http://www.wikidata.org/entity/Q1633853				wd_batch_add_ncbi_taxonid
Symphyotrichum parviflorum (Nees) Greuter	3151702	4236608	Symphyotrichum subulatum var. parviflorum (Nees) S.D.Sundb.	Aster exilis Elliott	6443988	synonym	Aster exilis Elliott	71035	exact_match	Symphyotrichum subulatum	http://www.wikidata.org/entity/Q15573217				wd_batch_add_ncbi_taxonid
Lavatera arborea L.	3152772	3935079	Malva arborea (L.) Webb & Berthel.	Lavatera arborea L.	3152772	homotypic synonym	Lavatera arborea L.	145751	exact_match	Malva dendromorpha	http://www.wikidata.org/entity/Q811549				wd_batch_add_ncbi_taxonid
Parentucellia viscosa (L.) Caruel	3171818	7733140	Bellardia viscosa (L.) Fisch. & C.A.Mey.	Parentucellia viscosa (L.) Caruel	3171818	synonym	Parentucellia viscosa (L.) Caruel	46056	exact_match	Bellardia viscosa	http://www.wikidata.org/entity/Q1459214				wd_batch_add_ncbi_taxonid
Orobanche ramosa L.	3173272	3728894	Phelipanche ramosa (L.) Pomel	Orobanche ramosa L.	3173272	heterotypic synonym	Orobanche ramosa L.	46066	exact_match	Phelipanche ramosa	http://www.wikidata.org/entity/Q159083				wd_batch_add_ncbi_taxonid
Orobanche purpurea Jacq.	3173305	7332057	Phelipanche purpurea subsp. purpurea	Orobanche purpurea Jacq.	3173305	heterotypic synonym	Orobanche purpurea Jacq.	223125	exact_match	Phelipanche purpurea	http://www.wikidata.org/entity/Q159594				wd_batch_add_ncbi_taxonid
Plantago arenaria Waldst. & Kit.	3189762	3189762	Plantago arenaria Waldst. & Kit.	Plantago arenaria Waldst. & Kit.	3189762	accepted	Plantago arenaria Waldst. & Kit., 1801	197794	exact_match	Plantago indica	http://www.wikidata.org/entity/Q165095				wd_batch_add_ncbi_taxonid
Papaver cambricum L.	3602683	3602683	Papaver cambricum L.	Papaver cambricum L.	3602683	accepted	Papaver cambricum L.	248829	exact_match	Meconopsis cambrica	http://www.wikidata.org/entity/Q21876094				wd_batch_add_ncbi_taxonid
Myrrhoides nodosa (L.) Cannon	3629505	3641366	Chaerophyllum nodosum (L.) Crantz	Myrrhoides nodosa (L.) Cannon	3629505	homotypic synonym	Myrrhoides nodosa (L.) Cannon	520770	exact_match	Chaerophyllum nodosum	http://www.wikidata.org/entity/Q28936012				wd_batch_add_ncbi_taxonid
Jasminum fruticans L.	3684450	9556104	Chrysojasminum fruticans (L.) Banfi	Jasminum fruticans L.	3684450	homotypic synonym	Jasminum fruticans L., 1753	310424	exact_match	Chrysojasminum fruticans	http://www.wikidata.org/entity/Q872077				wd_batch_add_ncbi_taxonid
