qid,-P846,#,P846,#,S248,s813
Q161099,"""2857420""",Remove identifier pointing to homonym with wrong authorship,"""9177060""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159924,"""5415025""",Remove identifier pointing to homonym with wrong authorship,"""8971475""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q376648,"""3767974""",Remove identifier pointing to homonym with wrong authorship,"""7574829""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q17233904,"""7314290""",Remove identifier pointing to homonym with wrong authorship,"""7833028""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160345,"""4051881""",Remove identifier pointing to homonym with wrong authorship,"""8207089""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q27490,"""3045752""",Remove identifier pointing to homonym with wrong authorship,"""7972010""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159389,"""3170039""",Remove identifier pointing to homonym with wrong authorship,"""8232412""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1939175,"""3112681""",Remove identifier pointing to homonym with wrong authorship,"""8322056""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164118,"""5384372""",Remove identifier pointing to homonym with wrong authorship,"""7905507""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15546415,"""3007441""",Remove identifier pointing to homonym with wrong authorship,"""8174785""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q9597623,"""3012058""",Remove identifier pointing to homonym with wrong authorship,"""9062455""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159735,"""3085414""",Remove identifier pointing to homonym with wrong authorship,"""8400876""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q161043,"""3033234""",Remove identifier pointing to homonym with wrong authorship,"""8870733""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q511103,"""5384802""",Remove identifier pointing to homonym with wrong authorship,"""9172281""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q301436,"""3630464""",Remove identifier pointing to homonym with wrong authorship,"""8181004""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164285,"""2874695""",Remove identifier pointing to homonym with wrong authorship,"""8380575""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164032,"""3050018""",Remove identifier pointing to homonym with wrong authorship,"""7473187""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q157408,"""3189736""",Remove identifier pointing to homonym with wrong authorship,"""8208358""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160189,"""3027557""",Remove identifier pointing to homonym with wrong authorship,"""7890713""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q743916,"""3107362""",Remove identifier pointing to homonym with wrong authorship,"""7903764""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q819191,"""3127637""",Remove identifier pointing to homonym with wrong authorship,"""9023462""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q163361,"""7302941""",Remove identifier pointing to homonym with wrong authorship,"""8083357""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q165013,"""2724521""",Remove identifier pointing to homonym with wrong authorship,"""8346717""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q9373285,"""7266348""",Remove identifier pointing to homonym with wrong authorship,"""7448302""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159990,"""7298962""",Remove identifier pointing to homonym with wrong authorship,"""7498158""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q161394,"""5414313""",Remove identifier pointing to homonym with wrong authorship,"""7931979""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q27164,"""5400982""",Remove identifier pointing to homonym with wrong authorship,"""8848598""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q819178,"""5387424""",Remove identifier pointing to homonym with wrong authorship,"""8133114""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q3900166,"""7291415""",Remove identifier pointing to homonym with wrong authorship,"""7804549""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2177531,"""3140305""",Remove identifier pointing to homonym with wrong authorship,"""8625614""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q155909,"""5361816""",Remove identifier pointing to homonym with wrong authorship,"""7960979""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q3002196,"""3014220""",Remove identifier pointing to homonym with wrong authorship,"""7790614""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160068,"""7332525""",Remove identifier pointing to homonym with wrong authorship,"""7718653""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q116137,"""5403805""",Remove identifier pointing to homonym with wrong authorship,"""8537667""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q162451,"""3171704""",Remove identifier pointing to homonym with wrong authorship,"""7958539""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q157641,"""2876388""",Remove identifier pointing to homonym with wrong authorship,"""9148577""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q9088521,"""3034821""",Remove identifier pointing to homonym with wrong authorship,"""8364220""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q3621705,"""3614375""",Remove identifier pointing to homonym with wrong authorship,"""7416939""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160934,"""3025654""",Remove identifier pointing to homonym with wrong authorship,"""7916436""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1415730,"""3088311""",Remove identifier pointing to homonym with wrong authorship,"""7675973""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15341809,"""2927186""",Remove identifier pointing to homonym with wrong authorship,"""8172952""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1431280,"""3114542""",Remove identifier pointing to homonym with wrong authorship,"""8185959""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q148882,"""3064250""",Remove identifier pointing to homonym with wrong authorship,"""8203538""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1258277,"""2870061""",Remove identifier pointing to homonym with wrong authorship,"""8678824""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q161160,"""2971024""",Remove identifier pointing to homonym with wrong authorship,"""8193111""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q5704736,"""3135587""",Remove identifier pointing to homonym with wrong authorship,"""7485421""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q162359,"""3732504""",Remove identifier pointing to homonym with wrong authorship,"""7464279""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q163374,"""3188833""",Remove identifier pointing to homonym with wrong authorship,"""8994150""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2650775,"""4048436""",Remove identifier pointing to homonym with wrong authorship,"""8152305""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q162660,"""3753668""",Remove identifier pointing to homonym with wrong authorship,"""7456530""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q242573,"""5334400""",Remove identifier pointing to homonym with wrong authorship,"""7821030""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q163374,"""3188833""",Remove identifier pointing to homonym with wrong authorship,"""8994150""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
